,video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,search_term,year,File Name,Content
0,7303270528096226603,2023-11-19T15:19:52,71.0,US,,779.0,0.0,23.0,11600.0,#greenscreen the BTR-80. #fyp #fypシ #foryou #foryoupage #miltokcommunity #miltok #military #army #navy #airforce #marinecorps #usmarines #marine #coastguard #spaceforce,False,,kagan_dunlap,Kagan Dunlap,,,,,,True,Russian Invasion of Ukraine (2022),2022,@kagan_dunlap_video_7303270528096226603.txt," Some like 95% sure that's a BTR 80. Because you can count the wheels over there. There's one, two, three, four on each side. And this right here is what that looks closest to, especially because they get the two front windows and they got the big turret up there, right? And then the four wheels. Plus they get these little angles here on the side. Like this angle right here, it's carved with a specific angle for it. Obviously, troop carrier. Well, armored personnel carrier. Looks like this BTR 80. Manufactured and put into service actually 37 years ago. It's been in quite a few wars by the looks of it. There's some random statistics just to wet your appetite. Can go 80 to 90 kilometers per hour. Not super fast, but faster than a tank for sure."
1,7303270528096226603,2023-11-19T15:19:52,71.0,US,,779.0,0.0,23.0,11600.0,#greenscreen the BTR-80. #fyp #fypシ #foryou #foryoupage #miltokcommunity #miltok #military #army #navy #airforce #marinecorps #usmarines #marine #coastguard #spaceforce,False,,kagan_dunlap,Kagan Dunlap,,,,,,True,Russian Invasion of Ukraine (2022),2022,@kagan_dunlap_video_7303270528096226603.txt," Some like 95% sure that's a BTR 80. Because you can count the wheels over there. There's one, two, three, four on each side. And this right here is what that looks closest to, especially because they get the two front windows and they got the big turret up there, right? And then the four wheels. Plus they get these little angles here on the side. Like this angle right here, it's carved with a specific angle for it. Obviously, troop carrier. Well, armored personnel carrier. Looks like this BTR 80. Manufactured and put into service actually 37 years ago. It's been in quite a few wars by the looks of it. There's some random statistics just to wet your appetite. Can go 80 to 90 kilometers per hour. Not super fast, but faster than a tank for sure."
2,7303270528096226603,2023-11-19T15:19:52,71.0,US,,779.0,0.0,23.0,11600.0,#greenscreen the BTR-80. #fyp #fypシ #foryou #foryoupage #miltokcommunity #miltok #military #army #navy #airforce #marinecorps #usmarines #marine #coastguard #spaceforce,False,,kagan_dunlap,Kagan Dunlap,,,,,,True,Russian Invasion of Ukraine (2022),2022,@kagan_dunlap_video_7303270528096226603.txt," Some like 95% sure that's a BTR 80. Because you can count the wheels over there. There's one, two, three, four on each side. And this right here is what that looks closest to, especially because they get the two front windows and they got the big turret up there, right? And then the four wheels. Plus they get these little angles here on the side. Like this angle right here, it's carved with a specific angle for it. Obviously, troop carrier. Well, armored personnel carrier. Looks like this BTR 80. Manufactured and put into service actually 37 years ago. It's been in quite a few wars by the looks of it. There's some random statistics just to wet your appetite. Can go 80 to 90 kilometers per hour. Not super fast, but faster than a tank for sure."
3,7303270528096226603,2023-11-19T15:19:52,71.0,US,,779.0,0.0,23.0,11600.0,#greenscreen the BTR-80. #fyp #fypシ #foryou #foryoupage #miltokcommunity #miltok #military #army #navy #airforce #marinecorps #usmarines #marine #coastguard #spaceforce,False,,kagan_dunlap,Kagan Dunlap,,,,,,True,Russian Invasion of Ukraine (2022),2022,@kagan_dunlap_video_7303270528096226603.txt," Some like 95% sure that's a BTR 80. Because you can count the wheels over there. There's one, two, three, four on each side. And this right here is what that looks closest to, especially because they get the two front windows and they got the big turret up there, right? And then the four wheels. Plus they get these little angles here on the side. Like this angle right here, it's carved with a specific angle for it. Obviously, troop carrier. Well, armored personnel carrier. Looks like this BTR 80. Manufactured and put into service actually 37 years ago. It's been in quite a few wars by the looks of it. There's some random statistics just to wet your appetite. Can go 80 to 90 kilometers per hour. Not super fast, but faster than a tank for sure."
4,7303270528096226603,2023-11-19T15:19:52,71.0,US,,779.0,0.0,23.0,11600.0,#greenscreen the BTR-80. #fyp #fypシ #foryou #foryoupage #miltokcommunity #miltok #military #army #navy #airforce #marinecorps #usmarines #marine #coastguard #spaceforce,False,,kagan_dunlap,Kagan Dunlap,,,,,,True,Russian Invasion of Ukraine (2022),2022,@kagan_dunlap_video_7303270528096226603.txt," Some like 95% sure that's a BTR 80. Because you can count the wheels over there. There's one, two, three, four on each side. And this right here is what that looks closest to, especially because they get the two front windows and they got the big turret up there, right? And then the four wheels. Plus they get these little angles here on the side. Like this angle right here, it's carved with a specific angle for it. Obviously, troop carrier. Well, armored personnel carrier. Looks like this BTR 80. Manufactured and put into service actually 37 years ago. It's been in quite a few wars by the looks of it. There's some random statistics just to wet your appetite. Can go 80 to 90 kilometers per hour. Not super fast, but faster than a tank for sure."
5,7068381111541550382,2022-02-24T15:48:45,31.0,US,,7431.0,232.0,176.0,211800.0,2022 Russian invasion of Ukraine: UPDATES #fyp #news #foryou #foru #breakingnews #russia #ukraine,False,,what.you.missed.today,News You Missed Today,,,,,,False,Russian Invasion of Ukraine (2022),2022,@what.you.missed.today_video_7068381111541550382.txt, I must have been the deadly case Only open her life is Only open her life is Your kiss is burning to my skin Only open her life is Your kiss is burning to my skin Only open her life is Your kiss is burning to my skin Only open her life is
6,7068381111541550382,2022-02-24T15:48:45,31.0,US,,7431.0,232.0,176.0,211800.0,2022 Russian invasion of Ukraine: UPDATES #fyp #news #foryou #foru #breakingnews #russia #ukraine,False,,what.you.missed.today,News You Missed Today,,,,,,False,Russian Invasion of Ukraine (2022),2022,@what.you.missed.today_video_7068381111541550382.txt, I must have been the deadly case Only open her life is Only open her life is Your kiss is burning to my skin Only open her life is Your kiss is burning to my skin Only open her life is Your kiss is burning to my skin Only open her life is
7,7068381111541550382,2022-02-24T15:48:45,31.0,US,,7431.0,232.0,176.0,211800.0,2022 Russian invasion of Ukraine: UPDATES #fyp #news #foryou #foru #breakingnews #russia #ukraine,False,,what.you.missed.today,News You Missed Today,,,,,,False,Russian Invasion of Ukraine (2022),2022,@what.you.missed.today_video_7068381111541550382.txt, I must have been the deadly case Only open her life is Only open her life is Your kiss is burning to my skin Only open her life is Your kiss is burning to my skin Only open her life is Your kiss is burning to my skin Only open her life is
8,7068381111541550382,2022-02-24T15:48:45,31.0,US,,7431.0,232.0,176.0,211800.0,2022 Russian invasion of Ukraine: UPDATES #fyp #news #foryou #foru #breakingnews #russia #ukraine,False,,what.you.missed.today,News You Missed Today,,,,,,False,Russian Invasion of Ukraine (2022),2022,@what.you.missed.today_video_7068381111541550382.txt, I must have been the deadly case Only open her life is Only open her life is Your kiss is burning to my skin Only open her life is Your kiss is burning to my skin Only open her life is Your kiss is burning to my skin Only open her life is
9,7068855801841978666,2022-02-25T22:30:47,18.0,US,,16.0,3.0,0.0,863.0,Russian planes invade Ukraine 🇺🇦🇺🇦🇺🇦#2022 #ukraine #foryou #war #fighter,False,,sandovalfollie752,sandovalfollie752,,,,,,False,Russian Invasion of Ukraine (2022),2022,@sandovalfollie752_video_7068855801841978666.txt,
