File Name,Content,Subjectivity/Objectivity
@algerianchad_video_6953651678549658885.txt, Yellow Star,subjective
@dasha.brooke_video_7356613106035936530.txt, Not gonna keep theories!,subjective
@cheeseballchick_video_7229844836600253739.txt," We are on the temple amount. This is where the temple went. Hi, hello. Behind me is the temple amount. The temple was there. It's been destroyed multiple times. But what you see is where the temple was. And we were just there. We told people we couldn't revive them and we couldn't pray.",subjective
@based_israel14_video_7226435478243888386.txt," Je suis devant tous芒頭 Pokemon qui sont devant tous芒頭你是 la Fonde qui sont devant tous芒頭 Pokemon qui sont devant tous芒頭 ao Larry Fonde qui suis devant tous芒頭 hombre, Promised que Marlena Fonde qui sont devant tous芒頭 ister la Fonde qui sont devant tous芒頭 וה sperm Ouais ! Fonde qui sont devant tous芒頭我是 la Fonde qui sont devant tous芒頭",subjective
@sammyshiblaq_video_7325672404238306603.txt," My grandma ordered an old history, come here to show me Men in the hood of the back, Palestine gonna be free The occupation won't be dead so you can fuck around and see I got resistance in my blood and that shit loaded in my jeep How you killing all these babies but still talk about some peace Why y'all was banging lids and don't even own I was banging my cool feet and trying to get back home My young insfight tanks with the rocks ain't on rollin' stone They cut the internet, my cousin can't pick up the phone",subjective
@wallyrashid_video_7331950954381659438.txt," You don't look Palestinian, maybe you're a leftover of the Romans or crusaders. What should I do to look more Palestinian for you guys? This was a few years ago, should I just go back to this look, was this more Arab enough? Over the past couple years, my hair has been getting lighter and I'm getting weird patches of ginger if I grow out my beard. What about here, do I look more Arab here? Here's me when I really let the Afro do its thing, does that look more Arab for you?",subjective
@dianaconforti_video_7286502451958598918.txt," Too afraid, now you storming at my house In the middle of the night I'm trying to breathe Come on I gotta say something with you I'm so much like I'm about to do So I don't wanna say something You've got to have to think You know I'm about to breathe Come on I gotta say something with you I'm so much like I'm about to do So I don't wanna say something You've got to have to think I ain't like I'm about to do I'm about to do I'm about to do I'm about to do I'm about to do I'm about to do I come when I love somebody part of me Don't wanna stay Every time I get too close I just start pushing them away I know I know Maybe I just wanna leave you for They try to leave me first But maybe I don't wanna",subjective
@yochanan_activist_video_7308274412220861727.txt," Remember the story of the 200 men who dreamed of Jesus and Gaza? Now, we don't know whether or not it happened, but it's reasonable to believe that it didn't. The post itself comes from a pretty well-known apologist named Michael Lakona, and his source is underground Christian ministries. Now, if you dig, if you ask around, you will find nothing about these ministries, you will not find their name, their denomination, their position on the conflict, nothing. And if they exist, we could probably grant that that's for their own safety. But that's the kicker. There's no reason for Christians to be underground in Palestine. It makes sense that there are underground ministries in China and North Korea, because Christians are actually persecuted there. But in the West Bank and Gaza, that's just not the case.",subjective
@israel_soldiers_video_7131286865688235266.txt," All the kings and their queens on the throne We were popped champagne and razor toast To all the queens to a fight Oh baby, you're not dancing on your own Disso baby, at the...",subjective
@tololovers_video_7323377719322938666.txt," Israel stands accused of genocide before the world's highest court. South Africa's legal team told the International Court of Justice about death, displacement, and deprivation in Gaza, and framed as part of a larger campaign by Israel against the Palestinian people dating back to 1948. This killing is nothing short of destruction of Palestinian life. It is inflicted deliberately. No one is spared, not even newborn babies. The devastation we submit is intended to and has laid waste to Gaza beyond any acceptable legal, let alone humane justification. Proving the case for genocide will require establishing intent. Here South Africa pointed to statements from top Israeli officials. We are imposing a complete siege on Gaza. There will be no electricity, no food, no water, no fuel, everything will be closed. We are fighting against human animals and we are acting accordingly. Lawyers for South Africa said statements dehumanizing Palestinians and calling for their death and displacement speak for themselves. What state would admit to a genocide that intent? Yet, the distinctive feature of this case has not been the silence as such, but the reiteration and repetition of genocide as speech throughout every sphere of state in Israel. Israel is defending itself in court, claiming its actions are self-defense and justified under the circumstances.",subjective
