,video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,search_term,year,File Name,Content
0,7303270528096226603,2023-11-19T15:19:52,71.0,US,,779.0,0.0,23.0,11600.0,#greenscreen the BTR-80. #fyp #fypシ #foryou #foryoupage #miltokcommunity #miltok #military #army #navy #airforce #marinecorps #usmarines #marine #coastguard #spaceforce,False,,kagan_dunlap,Kagan Dunlap,,,,,,True,Russian Invasion of Ukraine (2022),2022,@quotes1z_video_7230180221792652545.txt, Oh my god oh my god
1,7176858330370198830,1969-12-31T19:00:00,,,,,,,,,False,,,,,,,,,False,Russian Invasion of Ukraine (2022),2022,@americanpower24_video_7321065941830225195.txt," The Terminal High Altitude Area Defense, THAD, is an advanced missile defense system designed to intercept and destroy short, medium, and intermediate range ballistic missiles during their terminal phase of flight. Here are key features and details about the THAD Interception Range. THAD is designed to intercept missiles at altitudes, exceeding the Earth's atmosphere during their terminal descending phase of flight. This capability provides a broader defense against various ballistic missile threats. THAD is equipped with a powerful X-band radar and TPI-2 that provides target tracking and discrimination capabilities. Interceptor missiles, the system uses the TAD interceptor, which is designed to destroy incoming missiles through kinetic energy impact. Fire control system, the Fire Control System, coordinates radar data, interceptor launch, and target engagement. Mobility, THAD is highly mobile and transportable. It can be quickly deployed to different locations to provide protection against missile threats. The United States has deployed THAD systems in various locations globally, including South Korea, Guam, and the United Arab Emirates. These deployments are intended to enhance regional missile defense capabilities. THAD is operated by the US Army and is part of the broader missile defense architecture. It is integrated into the missile defense agencies MDA, ballistic missile defense system, BMDS. THAD is often used in conjunction with other missile defense systems, such as the Aegis ballistic missile defense, BMDS system, to provide a multi-layered defense against different types of missile threats. The TAD system has undergone extensive testing to demonstrate its capabilities. TEST scenarios include intercepting ballistic missiles at various ranges and altitudes. The US has worked with allies to integrate THAD into their defense architectures. For example, the deployment of THAD in South Korea is aimed at enhancing regional defense capabilities against North Korean missile threats. The deployment of THAD in certain regions has been a source of controversy, leading to geopolitical tensions. Issues such as sovereignty concerns and potential impacts on regional security have been raised in some instances. THAD continues to undergo improvements and upgrades to address emerging threats and enhance overall performance. The system is part of a dynamic and evolving field of missile defense technologies. THAD is a crucial component of the broader missile defense strategy employed by the United States and its allies to counter ballistic missile threats as with any military technology, developments and deployments may evolve."
2,7068381111541550382,2022-02-24T15:48:45,31.0,US,,7431.0,232.0,176.0,211800.0,2022 Russian invasion of Ukraine: UPDATES #fyp #news #foryou #foru #breakingnews #russia #ukraine,False,,what.you.missed.today,News You Missed Today,,,,,,False,Russian Invasion of Ukraine (2022),2022,@ievkka_video_7092245971756797227.txt, Oye y- There you're home We're home We're home Ummhhh Life going practice L la la la lainga
3,7349204506141396266,1969-12-31T19:00:00,,,,,,,,,False,,,,,,,,,False,Russia,2022,@shockvideoshock_video_7233895769546263834.txt,生活環境
4,7068855801841978666,2022-02-25T22:30:47,18.0,US,,16.0,3.0,0.0,863.0,Russian planes invade Ukraine 🇺🇦🇺🇦🇺🇦#2022 #ukraine #foryou #war #fighter,False,,sandovalfollie752,sandovalfollie752,,,,,,False,Russian Invasion of Ukraine (2022),2022,@habibibears_video_7302324090940034347.txt," 5 rules of Yazidi households Number 1, no shoes in the house Number 2, don't sit with your feet facing out Number 3, wait for the head of the house before eating Number 4, never throw none away Number 5, tea is better with sugar"
5,7323345585212280107,2024-01-12T20:15:00,59.0,US,,30400.0,495.0,264.0,588600.0,"Five months after Russia's invasion of Ukraine in 2022, an Asiatic black bear was found at an abandoned zoo in the Donetsk region. Now, the bear has a new permanent home at a Scottish zoo. #news #blackbear #ukraine #scotland",False,,abcnews,ABC News,,,,,,True,Russian Invasion of Ukraine (2022),2022,@_kia_rio_3__video_7168070563561311489.txt," [♪""! держed by D. Luther vK'sO Heroes"
6,7070140921765023019,2022-03-01T09:37:44,77.0,US,,136000.0,788.0,590.0,1100000.0,1 March 2022 — day six of #Russia war on #Ukraine @viceworldnews,False,,matthewcassel,matthewcassel,,,,,,False,Russian Invasion of Ukraine (2022),2022,@60minutes_video_7279951529501527326.txt," Today, the war is fought on a 700 mile front. The red area is the 20 percent of Ukraine still occupied by Russia. This is where Western donated tanks were supposed to punch through, cutting the Russian force in half. But trenches, minefields, and artillery stop the armored advance. Now, it's an artillery duel, with each side firing about 40,000 shells a day. Ukrainian infantry is advancing bloody yards at a time. It's World War I with drones. How would you describe the fighting at the front? It's a difficult question. I'll be completely honest with you. We have the initiative. This is a plus. We stop the Russian offensive and we moved into a counter-offensive. But despite that, it's not very fast. It is important that we are moving forward every day and liberating territory."
7,7211159439502494981,2023-03-16T11:01:37,12.0,UA,"antonov 225 rebuilt, antonov, an-225 plane, antonov 225 destroyed, Antonov An-225 Mriya, antonov 225 flight, ukraine plane, Airplane, antonov 225 destroyed footage, an 225 landing",182600.0,3999.0,2338.0,1800000.0,🇺🇦 The Antonov An-225 Mriya was destroyed in the Battle of Antonov Airport during the 2022 Russian invasion of Ukraine 💔 More on my IG: lady.adventure_ #ukraine #ukraine🇺🇦 #war #ukrainewar #ukrainenews #ukrainetoday #standwithukraine #fyp #viral,False,,chernobyl_guide,Nataly,,,,,,True,Russian Invasion of Ukraine (2022),2022,@cbsmornings_video_7072409788898118958.txt," This baby boy is whisked into an emergency room. Doctors fight to save his life, but it's too late. His mother and father sobbing and disbelief can barely hold each other up. They kiss their son goodbye."
8,7203326030935837953,2023-02-23T07:24:02,16.0,AU,,30700.0,1109.0,3524.0,404800.0,1 year into the 3 day operation #ukraine #славаукраїні #путінхуйло🔴⚫🇺🇦 #zelenskyy #russia #putin #kyiv #🇺🇦,False,,loverofoldmen,mashka🇺🇦,,,,,,False,Russian Invasion of Ukraine (2022),2022,@pokrov_video_7220702791390465282.txt," Let's go! Okay, ready. Yeah. Coca-Cola. Coca-Cola. Okay. eBay. eBay. eBay. eBay. eBay. eBay. eBay. What? Why eBay? eBay. eBay. eBay. eBay. eBay. There's no why. Why? I don't know. Fanta. Fanta? Fanta. Fanta. Fanta. Fanta. Fanta. Fanta. Uh, uh, uh, Fanta. Uh, uh, uh, Fanta. No, Panta. Fanta. Fanta. You're the only. Leave the time. Leave it on. Leave it on. Yes! Yeah! Okay. Toyota. What? Toyota. Toyota. Not like a Toyota. Toyota. Toyota. Toyota. Toyota. Toyota. Yes!"
9,7113160688654208261,2022-06-25T08:56:26,17.0,DE,,647.0,68.0,47.0,39800.0,#ukraine #russia #map #war #foryoupage #xybca #map #empire,False,,berkxy5,Berkay¹⁹⁰⁵,,,,,,False,Russian Invasion of Ukraine (2022),2022,@kaitlinnvolynets_video_7305606953450114350.txt, We're Russian. We're gonna celebrate by Smoyamata. We're Russian. We're gonna work with work here. We're Russian. We're gonna have a China cabinet in our house. We're Russian. We're not allowed to sit on the corner of a table. Russian. We're gonna offer you tea instead of popping. Russian. We're gonna eat a holiday eggs. Russian. Our moms are gonna wait out for us at night. Russian. We're gonna either play tennis or ballroom dance. Russian. We're gonna sit on the road or sit down in the middle of the school. Russian. We're not gonna come to your house empty handed. Russian. Our grandma's are gonna have Monday to get in their purse. Russian. We're always gonna be dressed up. Russian. We're never gonna cheers with water. Russian. We're a first generation of Americans. Woo!
